Ano,Magnitude,Tipo de partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,Grande (39–70),Competitivo,Candidatos (C),36,0,44.583333333333336,13.784826026157479,13.0,37.0,44.5,53.0,70.0
2022,Grande (39–70),Competitivo,Competitivos (F),36,0,8.666666666666666,6.061588664934065,0.0,4.0,7.0,11.0,25.0
2022,Grande (39–70),Competitivo,Competitivos na lista (%),36,0,19.70848711176576,13.077106627076956,0.0,10.720048406615572,16.666666666666668,23.561661506707946,53.84615384615385
2022,Grande (39–70),Competitivo,Bancada pré-eleitoral (Mp),36,0,4.5,3.2906794782493525,0.0,2.0,4.0,7.0,15.0
2022,Grande (39–70),Menos competitivo,Candidatos (C),87,0,29.333333333333332,20.8246648632497,1.0,9.0,27.0,46.0,71.0
2022,Grande (39–70),Menos competitivo,Competitivos (F),87,0,1.8275862068965518,2.445721924864114,0.0,0.0,1.0,3.0,14.0
2022,Grande (39–70),Menos competitivo,Competitivos na lista (%),87,0,8.996707890436562,16.291386607842405,0.0,0.0,4.444444444444445,9.8451862602806,100.0
2022,Grande (39–70),Menos competitivo,Bancada pré-eleitoral (Mp),87,0,0.5287356321839081,0.8738990477029077,0.0,0.0,0.0,1.0,4.0
2022,Médio (16–31),Competitivo,Candidatos (C),72,0,18.194444444444443,6.628234291865069,1.0,14.0,17.0,23.0,32.0
2022,Médio (16–31),Competitivo,Competitivos (F),72,0,4.0,2.3073672577142617,0.0,2.75,4.0,5.0,11.0
2022,Médio (16–31),Competitivo,Competitivos na lista (%),72,0,21.90975905776547,12.209484371354504,0.0,12.907608695652174,20.0,28.142857142857142,55.55555555555556
2022,Médio (16–31),Competitivo,Bancada pré-eleitoral (Mp),72,0,1.9305555555555556,1.427362276120763,0.0,1.0,2.0,3.0,6.0
2022,Médio (16–31),Menos competitivo,Candidatos (C),159,0,11.477987421383649,8.714774649393647,1.0,3.0,10.0,18.0,31.0
2022,Médio (16–31),Menos competitivo,Competitivos (F),159,0,0.8867924528301887,1.4711621690138774,0.0,0.0,0.0,1.0,9.0
2022,Médio (16–31),Menos competitivo,Competitivos na lista (%),159,0,8.094481278639233,14.43443631952974,0.0,0.0,0.0,11.437908496732026,100.0
2022,Médio (16–31),Menos competitivo,Bancada pré-eleitoral (Mp),159,0,0.23270440251572327,0.6861649850820479,0.0,0.0,0.0,0.0,7.0
2022,Pequeno (8–12),Competitivo,Candidatos (C),123,0,8.154471544715447,2.326020031224811,1.0,7.0,9.0,9.0,13.0
2022,Pequeno (8–12),Competitivo,Competitivos (F),123,0,2.3983739837398375,1.6131622411793507,0.0,1.0,2.0,3.0,7.0
2022,Pequeno (8–12),Competitivo,Competitivos na lista (%),123,0,28.567229969668993,17.363410987518492,0.0,17.424242424242426,28.571428571428573,42.22222222222222,77.77777777777777
2022,Pequeno (8–12),Competitivo,Bancada pré-eleitoral (Mp),123,0,0.9186991869918699,0.873972426460039,0.0,0.0,1.0,1.0,4.0
2022,Pequeno (8–12),Menos competitivo,Candidatos (C),234,0,5.897435897435898,3.094740423664745,1.0,3.0,6.0,9.0,13.0
2022,Pequeno (8–12),Menos competitivo,Competitivos (F),234,0,0.39316239316239315,0.812533419131955,0.0,0.0,0.0,0.75,5.0
2022,Pequeno (8–12),Menos competitivo,Competitivos na lista (%),234,0,6.286428433864332,12.75324805807564,0.0,0.0,0.0,8.333333333333332,50.0
2022,Pequeno (8–12),Menos competitivo,Bancada pré-eleitoral (Mp),234,0,0.0641025641025641,0.24546060354035,0.0,0.0,0.0,0.0,1.0
